"*RESPNUM","CCGID","RUNID","INTDATE","EGYPTAIR","DAY","GATE","BAREA","STRATA","PEAK","METHOD","SAQ","AIRLINE","DESTINATION","FLIGHT","AIRLINE CODE","DEST CODE","DESTGEO","DESTMARK","ARRTIME","DEPTIME","HOWLONG","Q2PURP1","Q2PURP2","Q2PURP3","Q3GETTO1","Q3GETTO2","Q3GETTO3","Q3PARK","Q4BAGS","Q4STORE","Q4FOOD","Q4WIFI","Q5TIMESFLOWN","Q5FIRSTTIME","Q6LONGUSE","Q7ART","Q7FOOD","Q7STORE","Q7SIGN","Q7WALKWAYS","Q7SCREENS","Q7INFODOWN","Q7INFOUP","Q7WIFI","Q7ROADS","Q7PARK","Q7AIRTRAIN","Q7LTPARKING","Q7RENTAL","Q7ALL","Q8COM","Q8COM2","Q8COM3","Q8COM4","Q8COM5","Q9BOARDING","Q9AIRTRAIN","Q9RENTAL","Q9FOOD","Q9RESTROOM","Q9ALL","Q9COM","Q9COM2","Q9COM3","Q10SAFE","Q10COM1","Q10COM2","Q10COM3","Q11TSAPRE","Q12PRECHECKRATE","Q12PRECOM1","Q12PRECOM2","Q12PRECOM3","Q13 COUNTY","Q13GETRATE","Q14FIND","Q14PASSTHRU","Q15PROBLEM","Q15COM1","Q15COM2","Q15COM3","Q16LIVE","Q17CITY","Q17STATE","Q17ZIP","Q17COUNTRY","HOME","Q18PET","Q19AGE","Q20GENDER","Q21INCME","Q22FLY","Q23SJC","Q23OAK","LANG","WEIGHT"
"383","589","794","42509","2","5","4","A","1","2","1","2","ALASKA","SEATTLE","377","7","60","1","4","3:50:00","6:00:00","130","3","","","5","","","","3","0","0","1","3","1","2","3","4","4","4","4","3","3","3","4","5","4","4","3","3","4","0","","","","","4","4","3","4","3","3","0","","","0","0","","","0","","","","","0","0","0","0","0","","","","1","SUNNYVALE","CA","94085","UNITED STATES","4","1","25-34","Male","3","2","1","2","1","0.35525"
"838","812","798","42509","2","5","8","A","1","1","1","1","HAWAIIAN","HONOLULU","11","19","26","1","2","7:00:00","9:00:00","120","2","","","2","","","","1","2","2","1","2","1","4","5","3","4","5","4","5","5","5","5","5","4","5","6","6","4","203","204","","","","5","5","4","5","5","5","0","","","5","5","","","2","","","","","5","4","5","4","2","","","","1","SAN MATEO","CA","","UNITED STATES","2","1","25-34","Male","3","2","1","1","1","0.97551767151767"
"847","821","798","42509","2","5","8","A","1","1","1","2","HAWAIIAN","HONOLULU","11","19","26","1","2","7:00:00","9:00:00","120","2","","","1","","","4","2","1","1","1","2","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","0","","","","","4","6","6","4","4","4","0","","","4","0","","","2","","","","","2","3","5","5","2","","","","1","PITTSBURG","CA","94565","UNITED STATES","5","1","25-34","Male","3","1","2","1","1","0.97551767151767"
"430","595","827","42511","2","7","11","A","1","1","1","1","JETBLUE","LAS VEGAS","2288","20","30","1","4","9:00:00","10:40:00","100","3","","","5","","","","2","2","2","1","1","1","2","3","6","6","4","4","5","6","6","6","6","6","5","6","2","4","608","","","","","4","4","4","6","6","4","0","","","4","8","","","2","","","","","7","5","5","4","2","","","","3","NEW YORK CITY","NY","10304","UNITED STATES","12","1","25-34","Male","3","2","2","2","1","0.3557037037037"
"459","408","842","42511","2","7","99","G","2","3","1","1","AIR CHINA","BEIJING","986","4","5","8","4","11:00:00","14:50:00","230","2","","","9","","","","1","1","0","1","1","2","1","4","3","4","4","4","4","4","4","4","4","4","4","4","4","4","202","","","","","5","5","5","5","5","5","0","","","5","0","","","2","","","","","36","4","4","2","2","","","","3","BEIJING","","","CHINA","16","1","25-34","Male","3","2","2","2","3","0.97551767151767"
"605","636","829","42511","2","7","1","A","2","3","1","2","ASIANA","SEOUL-INCHEON","211","10","61","8","3","10:30:00","12:40:00","130","2","","","5","","","","1","2","1","1","2","1","1","4","2","3","5","5","4","4","4","4","5","6","5","6","5","4","202","805","","","","5","5","5","2","3","4","0","","","0","0","","","0","","","","","0","0","0","0","0","","","","3","BANGLEDE","","","THAILAND","16","1","25-34","Male","3","2","2","2","1","0.97551767151767"
"693","744","847","42512","2","1","94","G","2","3","1","2","SINGAPORE AIRLINES","SEOUL-INCHEON","15","24","61","8","3","11:00:00","14:05:00","185","2","","","2","","","","1","0","1","1","2","1","4","4","4","3","4","4","4","4","4","5","5","5","6","6","6","4","803","","","","","4","6","6","4","3","4","0","","","4","0","","","2","","","","","9","4","4","4","2","","","","1","SANTA ROSA","CA","95405","UNITED STATES","7","1","25-34","Male","3","2","2","2","1","0.97551767151767"
"1620","371","850","42512","2","1","9","A","2","3","1","2","EMIRATES","DUBAI","226","16","18","7","4","11:45:00","16:45:00","300","1","","","2","","","","1","1","1","1","1","2","1","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","501","","","","","5","5","5","5","5","5","0","","","5","21","","","0","","","","","0","5","5","5","0","","","","3","BANGALORE","","","INDIA","16","1","25-34","Male","3","3","3","3","1","0.97551767151767"
"1841","1219","849","42512","2","1","10","A","2","2","1","2","ALASKA","SEATTLE","315","7","60","1","4","13:30:00","15:55:00","145","1","","","5","","","","1","0","0","1","3","1","1","3","3","3","4","3","2","6","6","4","4","6","6","6","6","3","0","","","","","4","6","6","4","4","4","0","","","5","0","","","2","","","","","7","3","5","5","2","","","","1","MOUNTAIN VIEW","CA","94040","UNITED STATES","4","1","25-34","Male","3","2","1","2","1","0.35525"
"2624","1148","853","42513","2","2","11","A","1","1","1","2","JETBLUE","LONG BEACH","735","20","33","1","1","N","9:30:00","N","2","","","8","","","","2","1","2","2","2","1","3","4","4","4","5","3","4","4","4","3","3","3","3","3","3","4","0","","","","","4","4","4","4","3","4","0","","","4","38","","","2","","","","","5","3","3","2","1","32","","","3","LONG BEACH","CA","90804","UNITED STATES","10","1","25-34","Male","3","3","2","2","1","0.3557037037037"
"1642","967","872","42514","2","3","73","F","3","3","1","2","UNITED INTL","VANCOUVER","1134","29","68","4","3","17:45:00","21:12:00","207","1","","","3","","","","2","2","1","2","6","1","3","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","5","","","","","5","5","5","5","5","5","0","","","5","96","","","1","5","1","","","11","5","5","5","2","","","","3","CHICAGO","IL","60657","UNITED STATES","11","2","25-34","Male","3","1","1","1","1","0.91742168674699"
"1644","969","872","42514","2","3","73","F","3","3","1","2","UNITED INTL","VANCOUVER","1134","29","68","4","3","17:30:00","21:12:00","222","3","","","3","","","","2","1","1","1","1","2","1","6","4","4","4","4","4","6","6","5","5","6","6","6","6","4","215","37","","","","5","6","6","5","5","5","0","","","0","0","","","0","","","","","11","0","0","0","0","","","","3","SEATTLE","WA","","UNITED STATES","10","1","25-34","Male","3","2","2","2","1","0.91742168674699"
"1646","971","872","42514","2","3","73","F","3","3","1","2","UNITED INTL","VANCOUVER","1134","29","68","4","3","18:00:00","21:12:00","192","2","3","","2","","","","2","2","1","1","1","1","3","6","6","6","4","3","4","6","6","4","6","6","6","6","6","4","0","","","","","4","4","6","6","3","4","0","","","4","16","","","3","","","","","5","4","3","4","2","","","","1","SAN FRANCISCO","CA","94109","UNITED STATES","1","1","25-34","Male","3","2","2","2","1","0.91742168674699"
"2736","1015","864","42514","2","3","2","A","1","2","1","2","UNITED","DENVER","1743","28","16","1","4","4:50:00","6:00:00","70","2","","","1","","","2","1","2","1","2","4","1","4","5","4","4","4","4","4","6","6","4","4","4","5","3","3","4","0","","","","","4","4","3","4","4","4","0","","","5","0","","","1","2","0","","","1","5","5","3","2","","","","1","ALAMEDA","CA","94501","UNITED STATES","3","1","25-34","Male","3","3","3","3","1","1.757875"
"2744","995","875","42514","2","3","7","A","3","3","1","2","PHILIPPINE AIR","MANILA","105","23","35","9","4","20:30:00","23:30:00","180","2","","","5","","","","1","2","2","1","3","1","2","3","2","3","3","3","3","2","3","3","3","3","3","3","3","3","0","","","","","4","4","3","3","3","3","0","","","4","0","","","3","","","","","2","4","4","4","2","","","","1","","","","","90","1","25-34","Male","3","2","2","2","1","0.97551767151767"
"2944","1026","865","42514","2","3","61","E","1","2","1","2","UNITED","CHICAGO-O'HARE","616","28","13","3","4","5:30:00","6:52:00","82","1","","","5","","","","2","1","2","1","5","1","2","6","3","3","4","3","4","6","6","5","6","6","4","6","6","3","313","","","","","4","3","6","4","4","4","0","","","3","10","","","2","","","","","5","4","4","2","1","4","","","1","SAN FRANCISCO","CA","94108","UNITED STATES","1","1","25-34","Male","3","1","2","2","1","1.757875"
"1276","2745","516","42496","1","6","50","D","3","2","1","1","VIRGIN AMERICA","DENVER","870","30","16","1","4","17:00:00","18:55:00","115","2","","","6","","","","2","1","1","1","4","1","4","5","3","3","5","4","5","5","5","4","4","4","4","3","3","4","999","","","","","5","4","3","4","4","4","0","","","5","5","","","1","3","0","","","5","3","5","5","2","","","","1","SAN FRANCISCO","CA","94112","UNITED STATES","1","1","25-34","Male","4","2","2","1","1","1.0005296442688"
"2206","2595","501","42496","1","6","75","F","1","1","1","2","UNITED","NASHVILLE","1830","28","42","3","1","8:00:00","9:30:00","90","6","","","1","","","3","1","2","2","1","3","1","3","4","4","6","3","3","3","6","6","5","4","4","5","5","6","5","614","","","","","5","5","6","4","4","5","0","","","4","0","","","1","5","1","2","","2","4","5","5","2","","","","1","KENSINGTON","CA","94708","UNITED STATES","3","1","25-34","Male","4","2","2","1","1","1.757875"
"2215","2604","501","42496","1","6","75","F","1","1","1","2","UNITED","NASHVILLE","1830","28","42","3","1","6:30:00","9:30:00","180","3","","","2","","","","2","1","1","1","4","1","2","6","4","3","4","4","4","4","4","5","5","6","6","6","6","4","0","","","","","5","6","6","6","4","5","0","","","5","0","","","1","4","0","","","5","5","5","5","2","","","","1","SAN FRANCISCO","CA","94110","UNITED STATES","1","1","25-34","Male","4","2","2","2","1","1.757875"
"2983","2457","517","42496","1","6","52","D","3","2","1","2","VIRGIN AMERICA","LOS ANGELES","942","30","34","1","4","17:45:00","19:40:00","115","3","","","6","","","","2","2","1","2","4","1","2","5","4","4","4","5","5","6","5","5","6","5","4","5","5","5","0","","","","","5","4","5","5","5","5","0","","","5","0","","","2","","","","","5","5","5","5","2","","","","1","SAN FRANCISCO","CA","94115","UNITED STATES","1","1","25-34","Male","4","2","2","2","1","1.0005296442688"
"2098","2661","531","42497","1","7","41","C","3","2","1","2","DELTA","NEW YORK-JFK","2240","15","43","2","4","19:00:00","21:00:00","120","1","","","5","","","","2","1","1","2","3","1","3","3","3","3","4","3","4","4","5","5","6","6","6","6","6","4","0","","","","","5","6","6","4","5","5","0","","","5","0","","","2","","","","","4","4","5","5","2","","","","3","NEW YORK","NY","10016","UNITED STATES","12","1","25-34","Male","4","1","1","2","1","1.0455967741935"
"2226","3004","521","42497","1","7","8","A","2","2","1","2","ALASKA","SEATTLE","307","7","60","1","4","13:00:00","15:00:00","120","2","","","9","","","","2","1","1","2","2","1","1","4","1","3","3","4","3","3","3","6","4","6","4","6","4","4","202","","","","","5","5","5","5","3","4","0","","","5","0","","","2","","","","","5","4","4","4","2","","","","3","SEATTLE","WA","","UNITED STATES","10","1","25-34","Male","4","2","2","2","1","0.35525"
"2235","3013","521","42497","1","7","8","A","2","2","1","2","ALASKA","SEATTLE","307","7","60","1","4","13:00:00","15:00:00","120","2","","","9","","","","1","2","2","1","1","2","1","4","6","3","4","4","4","6","6","3","4","6","4","6","4","4","0","","","","","5","5","5","6","5","5","0","","","5","0","","","2","","","","","4","4","4","3","2","","","","3","ANCHORAGE","AK","","UNITED STATES","10","1","25-34","Male","4","2","2","2","1","0.35525"
"2365","2710","550","42498","1","1","99","G","3","3","1","2","TURKISH AIRLINES","ISTANBUL","80","27","28","8","4","N","18:10:00","N","5","","","5","","","","2","2","2","1","1","1","3","5","3","4","4","4","3","4","4","5","5","4","4","6","6","4","0","","","","","5","4","6","4","3","4","0","","","4","0","","","2","","","","","1","5","4","3","2","","","","1","PLEASANTON","CA","94566","UNITED STATES","3","1","25-34","Male","4","2","2","2","1","0.97551767151767"
"2929","2874","534","42498","1","1","30","B","1","1","1","2","SOUTHWEST","PHOENIX","3095","25","49","1","4","8:45:00","10:10:00","85","1","","","5","","","","0","0","1","1","3","1","2","6","2","2","3","3","2","6","6","3","1","6","6","6","6","3","4","","","","","6","6","0","2","2","2","0","","","4","0","","","0","","","","","7","3","3","2","2","","","","1","SUNNYVALE","CA","94085","UNITED STATES","4","1","25-34","Male","4","2","1","4","1","0.8875125"
"43","51","578","42499","1","2","30","B","3","2","1","2","SOUTHWEST","LAS VEGAS","1307","25","30","1","4","17:30:00","19:10:00","100","1","","","6","","","","1","1","2","2","2","1","1","6","6","6","4","2","5","3","3","1","6","6","4","6","6","3","0","","","","","4","3","6","6","2","3","0","","","3","0","","","2","","","","","5","3","3","3","2","","","","1","LIVERMORE","CA","94550","UNITED STATES","3","1","25-34","Male","4","2","2","2","1","0.8875125"
"46","54","578","42499","1","2","30","B","3","2","1","2","SOUTHWEST","LAS VEGAS","1307","25","30","1","4","18:10:00","19:10:00","60","1","","","5","","","","2","1","2","1","4","1","2","1","1","2","3","3","4","6","6","4","4","6","6","6","5","3","0","","","","","3","3","3","2","3","3","0","","","4","0","","","1","5","1","","","5","5","5","5","2","","","","1","SAN FRANCISCO","CA","94105","UNITED STATES","1","1","25-34","Male","4","2","1","1","1","0.8875125"
"65","35","576","42499","1","2","26","B","3","2","1","2","SOUTHWEST","LOS ANGELES","2034","25","34","1","4","8:00:00","17:05:00","545","1","","","5","","","","2","2","1","1","5","1","4","2","1","2","3","3","2","2","2","3","3","3","3","3","3","2","0","","","","","1","2","2","2","3","2","0","","","4","0","","","1","5","0","","","6","2","3","4","2","","","","3","LOS ANGELES","CA","90254","UNITED STATES","10","1","25-34","Male","4","1","1","1","1","0.8875125"
"260","170","562","42499","1","2","72","F","1","1","1","2","UNITED","LOS ANGELES","256","28","34","1","4","8:00:00","9:51:00","111","1","","","2","","","","2","2","1","2","4","1","3","4","3","3","3","2","3","6","6","3","3","3","6","3","3","3","505","207","","","","4","6","4","4","3","4","0","","","4","0","","","2","","","","","6","3","4","3","2","","","","1","SAN MATEO","CA","94401","UNITED STATES","2","1","25-34","Male","4","2","2","4","1","1.757875"
"290","137","557","42499","1","2","73","F","1","2","1","2","UNITED","BOSTON","1946","28","7","2","3","4:30:00","6:00:00","90","1","","","5","","","","2","1","1","2","6","1","2","5","3","3","3","4","4","6","6","3","4","4","5","3","6","4","8","505","207","320","","5","4","6","4","4","5","0","","","5","6","","","2","","","","","5","5","4","5","1","3","","","1","SAN FRANCISCO","CA","94118","UNITED STATES","1","1","25-34","Male","4","2","2","1","1","1.757875"
"1486","1530","605","42499","1","2","74","F","2","3","1","2","UNITED INTL","VANCOUVER","538","29","68","4","3","14:00:00","15:58:00","118","1","","","6","","","","2","2","2","2","3","1","4","5","4","6","2","4","2","6","6","5","3","2","4","3","3","4","306","","","","","4","5","6","4","3","4","0","","","5","5","","","2","","","","","2","5","4","5","2","","","","1","","","","","90","1","25-34","Male","4","2","2","1","1","0.91742168674699"
"1767","1547","607","42499","1","2","101","G","3","3","1","2","EVA AIR","TAIPEI","27","17","64","8","3","15:00:00","17:55:00","175","2","","","3","","","","1","1","2","1","2","1","1","3","3","2","4","4","5","4","4","5","6","6","6","6","6","4","202","704","","","","5","6","6","6","4","4","0","","","4","0","","","3","","","","","11","3","4","4","1","2","","","3","MECRE","","","THAILAND","16","1","25-34","Male","4","2","2","2","1","0.97551767151767"
"1772","1552","607","42499","1","2","101","G","3","3","1","2","EVA AIR","TAIPEI","27","17","64","8","3","15:20:00","17:55:00","155","3","","","2","","","","1","2","1","1","3","1","4","4","4","6","4","4","4","4","4","4","4","3","4","6","6","4","0","","","","","5","5","6","4","4","4","0","","","5","0","","","2","","","","","7","0","5","5","2","","","","1","CAMPBELL","CA","95008","UNITED STATES","4","1","25-34","Male","4","3","1","2","1","0.97551767151767"
"1785","1541","606","42499","1","2","96","G","3","3","1","2","AIR CANADA","VANCOUVER","569","3","68","4","3","15:30:00","17:20:00","110","2","","","6","","","","1","2","2","1","1","2","1","3","3","3","3","4","4","3","3","4","6","6","6","6","6","3","37","","","","","4","6","6","4","4","4","0","","","5","27","","","1","5","21","","","5","4","4","4","2","","","","3","VANCOUVER","","","CANADA","13","1","25-34","Male","4","2","2","2","1","0.2510956937799"
"1790","1515","604","42499","1","2","101","G","2","3","1","2","LUFTHANSA","FRANKFURT","455","22","21","6","4","12:00:00","15:00:00","180","2","","","1","","","4","1","1","1","2","3","1","4","4","3","3","4","5","4","3","3","2","4","5","5","4","6","4","215","","","","","5","4","6","4","4","4","0","","","5","6","","","0","","","","","5","5","5","3","2","","","","1","SAN FRANCISCO","CA","94122","UNITED STATES","1","1","25-34","Male","4","2","2","2","1","0.97551767151767"
"1799","1499","603","42499","1","2","98","G","2","3","1","1","UNITED INTL","FRANKFURT","58","29","21","6","4","12:00:00","14:00:00","120","2","","","5","","","","1","1","1","2","3","1","4","4","4","4","5","5","5","6","6","3","5","5","3","3","4","4","202","501","","","","5","4","4","4","3","4","0","","","5","20","","","1","5","1","","","6","5","5","4","2","","","","1","REDWOOD CITY","CA","94061","UNITED STATES","2","1","25-34","Male","4","2","1","1","1","0.91742168674699"
"2564","2809","572","42499","1","2","2","A","2","3","1","2","AEROMEXICO","MEXICO CITY","669","2","37","4","3","10:59:00","13:35:00","156","2","","","5","","","","1","1","2","1","1","1","3","3","4","4","5","5","5","4","4","5","6","6","6","6","6","5","3","","","","","5","6","6","5","5","5","0","","","5","5","","","2","","","","","5","5","5","5","2","","","","3","","","","MEXICO","13","1","25-34","Male","4","2","1","4","1","0.97551767151767"
"2767","2771","574","42499","1","2","11","A","2","2","1","1","JETBLUE","NEW YORK-JFK","616","20","43","2","4","2:15:00","15:20:00","785","2","","","6","","","","2","2","2","2","1","2","1","6","6","3","4","3","4","6","4","1","5","6","6","6","6","4","607","501","","","","4","6","6","6","3","4","1","","","4","5","","","2","","","","","5","4","4","4","2","","","","3","ST. PAUL","MN","55112","UNITED STATES","11","1","25-34","Male","4","2","2","2","1","0.3557037037037"
"23","88","610","42501","1","4","42","C","3","2","1","2","DELTA","SALT LAKE CITY","2800","15","54","1","2","16:30:00","18:05:00","95","1","","","9","","","","2","2","2","2","6","1","2","4","4","3","5","4","4","6","6","5","4","6","4","6","4","4","0","","","","","4","4","4","4","3","4","0","","","5","0","","","1","5","0","","","6","5","5","5","2","","","","3","PARK CITY","UT","84060","UNITED STATES","10","1","25-34","Male","4","2","1","2","1","1.0455967741935"
"1138","2436","611","42501","1","4","44","C","3","2","1","2","DELTA","LOS ANGELES","2777","15","34","1","4","17:00:00","19:00:00","120","1","","","5","","","","2","1","1","1","4","1","3","3","2","3","4","4","5","6","6","4","6","6","6","6","6","4","704","202","","","","4","6","6","4","4","4","0","","","4","5","","","1","5","1","","","6","4","5","5","2","","","","3","LOS ANGELES","CA","91335","UNITED STATES","10","1","25-34","Male","4","1","1","1","1","1.0455967741935"
"1150","2448","611","42501","1","4","44","C","3","2","1","2","DELTA","LOS ANGELES","2777","15","34","1","4","17:50:00","19:00:00","70","1","","","5","","","","2","2","2","2","3","1","3","3","2","2","3","3","4","3","3","2","4","6","2","6","3","4","0","","","","","5","4","5","5","5","5","0","","","5","0","","","1","5","0","","","5","5","5","5","2","","","","3","LOS ANGELES","CA","90069","UNITED STATES","10","1","25-34","Male","4","1","1","2","1","1.0455967741935"
"1162","2421","608","42501","1","4","41","C","2","2","1","2","DELTA","NEW YORK-JFK","2040","15","43","2","4","15:00:00","16:05:00","65","1","","","5","","","","0","1","0","0","6","1","3","3","2","2","2","3","4","6","6","2","2","6","4","6","2","3","202","","","","","4","4","4","4","3","4","0","","","5","0","","","1","3","0","","","7","4","5","3","1","4","40","","3","NEW YORK CITY","NY","10011","UNITED STATES","12","1","25-34","Male","4","1","2","2","1","1.0455967741935"
"1166","2425","608","42501","1","4","41","C","2","2","1","2","DELTA","NEW YORK-JFK","2040","15","43","2","4","15:05:00","16:05:00","60","1","","","9","","","","2","2","2","2","4","1","3","3","3","2","3","2","3","6","6","3","3","6","4","6","3","2","0","","","","","3","3","3","4","3","3","0","","","4","0","","","1","5","1","","","6","3","3","4","2","","","","3","NEW YORK","NY","10001","UNITED STATES","12","1","25-34","Male","4","1","4","4","1","1.0455967741935"
"1170","2429","608","42501","1","4","41","C","2","2","1","2","DELTA","NEW YORK-JFK","2040","15","43","2","4","15:00:00","16:05:00","65","1","","","9","","","","0","1","0","0","3","1","4","3","3","3","4","3","3","6","6","4","4","4","5","4","4","4","0","","","","","3","4","3","3","3","3","0","","","4","0","","","2","","","","","6","4","4","4","2","","","","3","NEW YORK CITY","NY","11231","UNITED STATES","12","1","25-34","Male","4","2","2","2","1","1.0455967741935"
"1203","2411","595","42501","1","4","11","A","1","2","1","2","JETBLUE","LAS VEGAS","2288","20","30","1","4","5:30:00","7:10:00","100","2","","","8","","","","2","1","2","2","4","1","4","4","3","3","4","3","5","5","5","5","3","3","4","4","4","4","0","","","","","5","5","4","4","5","5","0","","","5","6","","","2","","","","","1","4","4","5","2","","","","3","LAS VEGAS","NV","89134","UNITED STATES","10","1","25-34","Male","4","2","1","1","1","0.3557037037037"
"2414","2323","600","42501","1","4","11","A","2","3","1","2","CHINA SOUTHERN","GUANGZHOU","658","14","24","8","4","10:00:00","12:10:00","130","2","","","5","","","","1","1","1","2","4","1","4","4","3","3","4","3","4","4","4","2","4","6","6","6","6","4","202","","","","","4","6","6","4","4","4","0","","","4","0","","","2","","","","","6","5","4","4","2","","","","1","SAN MATEO","CA","94401","UNITED STATES","2","1","25-34","Male","4","3","1","1","1","0.97551767151767"
"1302","2223","622","42502","1","5","54","D","1","1","1","2","VIRGIN AMERICA","WASHINGTON-DULLES","84","30","69","2","2","6:00:00","9:45:00","225","2","","","3","","","","2","2","1","1","2","2","1","6","3","6","3","6","3","6","6","5","6","6","6","6","6","4","0","","","","","5","6","6","6","5","5","0","","","5","0","","","2","","","","","11","6","4","6","2","","","","3","FAIRFAX","VA","22031","UNITED STATES","12","1","25-34","Male","4","2","2","2","1","1.0005296442688"
"1336","2260","619","42502","1","5","52","D","1","2","1","2","VIRGIN AMERICA","BOSTON","350","30","7","2","3","5:15:00","6:50:00","95","2","","","5","","","","1","2","1","2","3","1","2","5","4","4","4","4","5","6","6","4","5","4","5","5","5","5","505","","","","","5","5","5","4","4","4","0","","","5","0","","","2","","","","","5","5","5","5","2","","","","1","SAN FRANCISCO","CA","94107","UNITED STATES","1","1","25-34","Male","4","1","1","1","1","1.0005296442688"
"1347","2249","620","42502","1","5","52","D","1","2","1","2","VIRGIN AMERICA","NEWARK","174","30","44","2","4","5:45:00","7:55:00","130","1","","","5","","","","0","1","0","0","1","2","1","4","4","4","4","4","4","4","4","4","4","4","4","4","4","4","0","","","","","4","4","4","4","4","4","0","","","4","0","","","2","","","","","5","5","5","4","2","","","","3","NEW YORK CITY","NY","","UNITED STATES","12","1","25-34","Male","4","2","2","2","1","1.0005296442688"
"343","126","713","42503","1","6","80","F","2","2","1","2","UNITED","HOUSTON-BUSH","1520","28","27","3","4","11:40:00","13:30:00","110","2","","","5","","","","0","1","0","0","4","1","3","5","3","3","5","5","5","6","6","5","5","5","5","5","5","4","0","","","","","5","5","5","5","4","5","0","","","4","28","10","","2","","","","","5","4","5","3","1","40","","","1","SAN FRANCISCO","CA","94109","UNITED STATES","1","2","25-34","Male","4","2","4","4","1","1.757875"
"1383","2203","710","42503","1","6","31","B","1","1","1","2","SOUTHWEST","SAN DIEGO","2023","25","55","1","2","7:25:00","9:15:00","110","6","","","5","","","","2","2","1","2","6","1","4","5","3","4","4","4","3","6","6","6","5","6","6","6","6","5","0","","","","","3","6","6","6","3","4","0","","","5","0","","","0","","","","","5","5","5","5","2","","","","1","SAN FRANCISCO","CA","94123","UNITED STATES","1","1","25-34","Male","4","1","1","2","1","0.8875125"
"1384","2180","711","42503","1","6","21","B","1","1","1","1","FRONTIER","HOUSTON-BUSH","1432","18","27","3","4","8:00:00","10:35:00","155","2","","","5","","","","2","2","1","1","2","1","3","6","3","4","5","5","5","6","6","5","6","6","4","6","4","0","202","702","","","","4","6","4","4","3","4","7","","","5","1","4","3","2","","","","","6","5","5","5","1","40","","","3","NEW YORK","NY","10025","UNITED STATES","12","1","25-34","Male","4","2","1","2","1","0.97551767151767"
"1410","2164","708","42503","1","6","31","B","1","2","1","2","SOUTHWEST","LOS ANGELES","2091","25","34","1","4","5:30:00","7:00:00","90","2","","","5","","","","2","1","2","2","3","1","2","4","2","2","3","3","3","3","3","3","3","6","3","6","1","3","704","202","","","","4","4","4","4","4","4","0","","","3","0","","","1","4","2","21","11","1","2","5","5","2","","","","3","BROOKLYN","NY","11217","UNITED STATES","12","1","25-34","Male","4","2","1","1","1","0.8875125"
"1536","1973","720","42503","1","6","10","A","3","2","1","2","ALASKA","SEATTLE","331","7","60","1","4","15:00:00","18:00:00","180","2","","","5","","","","1","0","0","0","4","1","2","3","2","2","4","4","4","4","4","4","3","2","2","1","2","3","210","","","","","4","4","4","4","4","4","0","","","5","0","","","2","","","","","1","3","4","2","2","","","","1","FREMONT","CA","94555","UNITED STATES","3","1","25-34","Male","4","2","1","2","1","0.35525"
"1556","1952","721","42503","1","6","11","A","3","2","1","2","JETBLUE","LAS VEGAS","188","20","30","1","4","17:15:00","19:59:00","164","2","","","5","","","","1","1","1","2","3","1","3","4","3","2","4","4","5","5","5","3","4","4","5","4","4","4","0","","","","","4","5","5","5","4","5","0","","","5","5","","","2","","","","","6","5","5","5","2","","","","1","SAN FRANCISCO","CA","94122","UNITED STATES","1","1","25-34","Male","4","2","2","1","1","0.3557037037037"
"1564","1960","721","42503","1","6","11","A","3","2","1","2","JETBLUE","LAS VEGAS","188","20","30","1","4","18:45:00","19:59:00","74","2","","","1","","","4","2","2","2","1","3","1","4","5","4","3","4","4","4","4","4","4","4","4","6","6","6","4","0","","","","","5","6","6","5","5","5","0","","","5","21","","","1","4","14","","","7","3","5","3","2","","","","1","REDWOOD CITY","CA","94061","UNITED STATES","2","1","25-34","Male","4","3","1","1","1","0.3557037037037"
"1070","2033","747","42505","1","1","6","A","3","2","1","1","ALASKA","SALT LAKE CITY","744","7","54","1","2","19:10:00","20:50:00","100","1","","","5","","","","0","1","0","0","3","1","2","4","4","4","4","4","4","6","6","3","3","6","3","6","6","4","0","","","","","5","5","6","4","4","4","0","","","5","0","","","2","","","","","5","0","5","4","2","","","","1","SAN FRANCISCO","CA","94122","UNITED STATES","1","1","25-34","Male","4","3","4","1","1","0.35525"
"1324","2053","748","42505","1","1","12","A","3","2","1","2","JETBLUE","BOSTON","834","20","7","2","3","18:30:00","21:40:00","190","6","","","9","","","","1","2","1","1","1","1","2","0","3","4","4","4","3","6","6","4","1","6","4","6","4","4","215","","","","","3","3","4","2","4","3","0","","","4","0","","","1","5","1","","","5","5","2","5","2","","","","3","BOSTON","MA","2210","UNITED STATES","12","1","25-34","Male","4","2","2","2","1","0.3557037037037"
"1655","1648","740","42505","1","1","53","D","2","1","1","2","VIRGIN AMERICA","LAS VEGAS","906","30","30","1","4","9:30:00","12:35:00","185","1","","","2","","","","2","2","1","2","4","1","2","4","4","4","4","4","4","4","4","3","4","4","4","4","4","4","0","","","","","4","4","4","4","4","4","0","","","5","0","","","2","","","","","7","0","5","5","2","","","","1","MOUNTAIN VIEW","CA","94041","UNITED STATES","4","1","25-34","Male","4","3","1","2","1","1.0005296442688"
